date,fold,split,account_value,account_value_std,seed_count
2012-01-31,fold1,val,10000.0,0.0,5
2012-02-01,fold1,val,10077.484300830984,0.0,5
2012-02-02,fold1,val,10093.459129640209,0.0,5
2012-02-03,fold1,val,10234.95627448529,0.0,5
2012-02-06,fold1,val,10228.109919281336,0.0,5
2012-02-07,fold1,val,10253.974701691388,0.0,5
2012-02-08,fold1,val,10284.404881696752,0.0,5
2012-02-09,fold1,val,10297.337272901776,0.0,5
2012-02-10,fold1,val,10221.263564077382,0.0,5
2012-02-13,fold1,val,10297.337272901776,0.0,5
2012-02-14,fold1,val,10284.404881696752,0.0,5
2012-02-15,fold1,val,10236.478073683726,0.0,5
2012-02-16,fold1,val,10349.828317717438,0.0,5
2012-02-17,fold1,val,10377.214899325929,0.0,5
2012-02-21,fold1,val,10378.79084578817,6.682020337623097,5
2012-02-22,fold1,val,10361.23575573633,18.86933929388683,5
2012-02-23,fold1,val,10386.522851937338,24.38776096494145,5
2012-02-24,fold1,val,10400.24309230941,44.46505286271762,5
2012-02-27,fold1,val,10410.778133863972,59.95700743526441,5
2012-02-28,fold1,val,10429.119014771346,86.92868094789888,5
2012-02-29,fold1,val,10404.311572392586,50.64167750577864,5
2012-03-01,fold1,val,10436.845186618673,98.55830558580338,5
2012-03-02,fold1,val,10417.534611512814,70.33408819185776,5
2012-03-05,fold1,val,10391.838222067378,32.75602995101959,5
2012-03-06,fold1,val,10268.016068953733,31.63114698857125,5
2012-03-07,fold1,val,10337.565562082245,27.284139502439004,5
2012-03-08,fold1,val,10440.41484069139,27.555591620294287,5
2012-03-09,fold1,val,10480.794048952539,27.66216525647369,5
2012-03-12,fold1,val,10481.555482129768,27.664174921990718,5
2012-03-13,fold1,val,10670.494371995217,28.16284503900857,5
2012-03-14,fold1,val,10659.521594209473,28.346378316690764,5
2012-03-15,fold1,val,10690.019792975596,30.337959798343725,5
2012-03-16,fold1,val,10679.307981972985,11.826221623231204,5
2012-03-19,fold1,val,10700.151162782899,41.64693316966985,5
2012-03-20,fold1,val,10689.572613179682,23.195537274832386,5
2012-03-21,fold1,val,10681.784337051327,24.552156031754365,5
2012-03-22,fold1,val,10679.74562260065,95.71296402890329,5
2012-03-23,fold1,val,10684.25921714073,61.87536602788115,5
2012-03-26,fold1,val,10681.456711923262,92.43610696735269,5
2012-03-27,fold1,val,10690.264934934603,66.42221103173644,5
2012-03-28,fold1,val,10698.485184403218,37.038601477699494,5
2012-03-29,fold1,val,10702.149893407071,44.875042955450226,5
2012-03-30,fold1,val,10693.202925925758,42.878887957049784,5
2012-04-02,fold1,val,10677.703649574953,114.1535742165667,5
2012-04-03,fold1,val,10686.04821024527,70.44706776831663,5
2012-04-04,fold1,val,10706.705531254742,66.79213598035831,5
2012-04-05,fold1,val,10701.366630159204,70.16032298763368,5
2012-04-09,fold1,val,10625.48285643638,171.65420636301548,5
2012-04-10,fold1,val,10553.972122430461,327.6738609267802,5
2012-04-11,fold1,val,10601.2928551204,254.61123344527786,5
2012-04-12,fold1,val,10652.200239921967,130.8256935288639,5
2012-04-13,fold1,val,10648.800675858953,237.55395921207563,5
2012-04-16,fold1,val,10648.913865024284,243.96143951502484,5
2012-04-17,fold1,val,10646.276037871026,117.32746572599504,5
2012-04-18,fold1,val,10646.450412364919,140.61223483108756,5
2012-04-19,fold1,val,10646.966963632276,195.8610367815433,5
2012-04-20,fold1,val,10646.741070989485,180.60125473051022,5
2012-04-23,fold1,val,10627.176858711213,224.65522908877946,5
2012-04-24,fold1,val,10652.895270462916,213.63731838813476,5
2012-04-25,fold1,val,10796.564320713069,214.89064806067825,5
2012-04-26,fold1,val,10836.691661928007,172.3619714066802,5
2012-04-27,fold1,val,10842.909054830308,164.2644848969683,5
2012-04-30,fold1,val,10824.87775617313,183.2433860395605,5
2012-05-01,fold1,val,10862.796537645008,170.99589826772691,5
2012-05-02,fold1,val,10847.76387990711,181.1881866113195,5
2012-05-03,fold1,val,10777.262901430948,182.65154960819282,5
2012-05-04,fold1,val,10600.983506837683,178.27898794741458,5
2012-05-07,fold1,val,10608.72192328989,178.40912653809636,5
2012-05-08,fold1,val,10566.162994235914,177.69340400207128,5
2012-05-09,fold1,val,10503.485835409409,176.63934892918138,5
2012-05-10,fold1,val,10525.151984615692,177.00371315545664,5
2012-05-11,fold1,val,10493.426130164857,176.47017273256827,5
2012-05-14,fold1,val,10377.356967681231,174.51821301051672,5
2012-05-15,fold1,val,10317.774467005664,173.51620146008176,5
2012-05-16,fold1,val,10278.3113768192,172.85254230287526,5
2012-05-17,fold1,val,10125.873782300047,170.2889669460701,5
2012-05-18,fold1,val,10039.209185474912,168.83151004097473,5
2012-05-21,fold1,val,10211.765009766592,171.73341793464314,5
2012-05-22,fold1,val,10229.561950746773,172.03271286557754,5
2012-05-23,fold1,val,10234.979078406632,172.1238138503258,5
2012-05-24,fold1,val,10255.097308179158,172.46214638719135,5
2012-05-25,fold1,val,10221.824715011144,171.90259413125816,5
2012-05-29,fold1,val,10345.631113230394,173.98467258762966,5
2012-05-30,fold1,val,10195.514807503589,171.4601348367596,5
2012-05-31,fold1,val,10173.075288938717,171.08276469396054,5
2012-06-01,fold1,val,9916.949525972837,166.7754434176512,5
2012-06-04,fold1,val,9912.306948388145,166.69736820578692,5
2012-06-05,fold1,val,9987.365101251547,167.95963708122156,5
2012-06-06,fold1,val,10211.765009766586,171.7334179346441,5
2012-06-07,fold1,val,10217.95550678504,171.83752483591755,5
2012-06-08,fold1,val,10299.20415666689,173.2039006126267,5
2012-06-11,fold1,val,10168.43271135402,171.00468948209647,5
2012-06-12,fold1,val,10285.275243196234,172.96965512067362,5
2012-06-13,fold1,val,10219.503426218795,171.8635565253252,5
2012-06-14,fold1,val,10327.834172250212,173.6853776566972,5
2012-06-15,fold1,val,10379.678256473575,174.55725061644975,5
2012-06-18,fold1,val,10399.796486246103,174.8955831533163,5
2012-06-19,fold1,val,10500.389996541893,176.58728555036575,5
2012-06-20,fold1,val,10483.366424920303,176.30099653595695,5
2012-06-21,fold1,val,10248.133441802118,172.3450335693971,5
2012-06-22,fold1,val,10327.060802891625,173.67237174017342,5
2012-06-25,fold1,val,10161.468844976984,170.88757666430232,5
2012-06-26,fold1,val,10212.538379125177,171.7464238511687,5
2012-06-27,fold1,val,10304.620103610174,173.29498174101366,5
2012-06-28,fold1,val,10275.215537951684,172.8004789240583,5
2012-06-29,fold1,val,10531.34248163414,177.1078200567296,5
2012-07-02,fold1,val,10554.543567403216,173.18146501069066,5
2012-07-03,fold1,val,10621.993401423895,173.51754993567891,5
2012-07-05,fold1,val,10581.560699441348,176.11728882874368,5
2012-07-06,fold1,val,10478.886875694376,173.33539174724083,5
2012-07-09,fold1,val,10465.739104573038,173.1179092908555,5
2012-07-10,fold1,val,10374.476508385396,171.60829877117794,5
2012-07-11,fold1,val,10376.023652083455,171.63389068396177,5
2012-07-12,fold1,val,10325.751512957888,170.802319446228,5
2012-07-13,fold1,val,10498.995023269683,173.66800852979105,5
2012-07-16,fold1,val,10474.2454446002,173.2586160088922,5
2012-07-17,fold1,val,10546.17287499913,174.44839594195807,5
2012-07-18,fold1,val,10624.286519940571,175.74050448433897,5
2012-07-19,fold1,val,10644.38531410401,173.18506768627378,5
2012-07-20,fold1,val,10544.890228149863,171.07013574495932,5
2012-07-23,fold1,val,10457.530942218265,178.80045683665432,5
2012-07-24,fold1,val,10365.638474974003,175.75505650362442,5
2012-07-25,fold1,val,10367.961439843613,175.79444364054837,5
2012-07-26,fold1,val,10539.005819063266,178.6945944230545,5
2012-07-27,fold1,val,10733.269218263293,181.988436359123,5
2012-07-30,fold1,val,10728.90286459516,176.5091708898197,5
2012-07-31,fold1,val,10649.528945867805,169.87229396046405,5
2012-08-01,fold1,val,10640.248182593845,169.72425506080495,5
2012-08-02,fold1,val,10579.4504998505,178.78109964254222,5
2012-08-03,fold1,val,10787.088820945515,180.2792373096089,5
2012-08-06,fold1,val,10795.094832124048,164.03651345570594,5
