strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
buy_hold,1.0031316764189238,0.10707811286599145,0.17608527276070032,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,
momentum_126,0.4512123510717143,0.05604323464701877,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.21746774967311666,,,
rl_tdqn_stitched,-0.2544383124604843,-0.042082256427140696,0.165191706321564,-0.2547479977307269,-0.3148002148178292,-0.09589425450233043,-0.43884022713913495,320.89191157919777,46.98707827888311,9.61006289308176
